Nom,Coord_X,Coord_Y
Fablioris,326.678133717787,203.190150590128
Haliandris,219.346036744022,-144.231922916038
Olkanoris,155.513595603445,-161.528898274571
Ryldaris,143.141390876751,-359.935937907952
Invernis,26.8502127176753,-352.731364927896
Tundralis,-68.5103681591191,-273.627570254429
Rukhsar,-240.438736229066,-122.715661315989
Prismalith,-306.923231786586,-166.034022569354
Althior,-373.390886274001,-168.706046998389
Valtheria,-343.022571710132,-94.3414030747773
Soltharis,-400.709770788601,-74.0532512045539
Oranthor,-437.351706063743,-81.8961283499203
Hekorinth,-265.615491842868,149.34179521866
Brumaris,-323.618345951184,240.30105905247
Myrthorin,-160.47089342871,195.19533570299
Brystalis,-207.596440858386,194.246898170162
Raenoris,-177.528780808367,154.302824766463
Ilyndar,-135.129132138956,70.5661713429866
Holvendar,-214.917704969009,62.3827916872902
Amarendis,-254.535448129024,85.485979040888
Folgrad,11.7131276071013,95.0432403119134
Ostarith,273.53489462582,45.5053706381076
Glintaris,191.281083620977,21.4295424651374
Crestalis,184.642389002008,84.51324619381
Trelios,189.956068717266,-218.725497655048
Folgrad,400.815653264239,17.6557623459202
Ackerna,-323.737429802094,70.6817581410879
Cëpias,-456.616141738044,132.233292600981
