,Coord_X,Coord_Y
Azoria,191.597290817057,359.440126585782
Cestra,-468.200957416527,-461.471577823434
Nysaria,192.670149807713,-406.557357566929
Baelor,39.3983744172753,219.409665572729
Ulinor,-24.3847398731563,104.181223356705
Evertia,-457.905449892024,146.31445181871
Cendara,-379.625579265849,269.785079394242
Iltahra,-253.338719846772,131.012269004479
Galenor,-299.97624435421,-155.616118196543
Celethor,-78.6960866309671,-357.750371930161
Alkaran,140.929965113716,-208.534441576282
Endora,171.57555915424,41.8018076581829
Onara,363.782968351567,73.944232328577
