,Coord_X,Coord_Y
Starfall,381.8369539,179.3395973
Mistwood,359.2236233,161.83327
Ravenscar,322.9638999,216.7700341
Eldoria,338.865169,223.1207079
Drakvale,293.1210109,232.0214851
Windspire,291.5855116,176.4976652
Ravenscar,292.3184818,165.5540867
Taronis,261.0928045,193.897955
Shadowfen,327.4108902,174.7466927
Mistwood,358.1988244,196.8162426
Ravenscar,386.2873425,167.8157596
Ravenscar,367.9055289,184.085213
Nightshade,345.7231449,180.1090461
Glimmerdell,310.4848221,185.9456213
Thornmere,312.0169231,199.2967871
Mistwood,328.1404621,203.0176038
Glimmerdell,293.4162379,195.1747059
Taronis,279.4050591,211.3347234
Brightwater,69.4342663,320.5151583
Ravenscar,107.8097482,369.2140826
Shadowfen,327.4108902,423.4091153
Thornmere,408.2474567,462.2675802
Drakvale,391.9050461,424.5764303
Drakvale,298.1307379,365.4777081
Nightshade,316.4186735,409.4499729
Mythral,211.5548724,403.4188452
Brightwater,168.0723872,385.4227383
Taronis,166.4186909,359.7904456
Shadowfen,215.1297747,365.7850947
Taronis,237.1628461,335.7598127
Bramneth,236.2873599,351.4125283
Windspire,204.1132391,327.3731342
Thornmere,180.7669383,341.8186578
Brightwater,193.3189732,353.2729366
Eldoria,212.7221875,338.7909344
Ravenscar,75.97609434,259.559426
Shadowfen,71.23387699,253.2851077
Emberfall,-7.888195573,129.7564255
Moonshadow,22.40119781,125.0871653
Moonshadow,26.587475,106.9694631
Mistwood,16.46734636,84.57160581
Nightshade,7.907036064,99.6980632
Shadowfen,2.216375243,115.4081781
Thornmere,1.219293646,132.9388245
Thornmere,10.19302802,140.0920274
Frostholm,-9.870199235,145.4179023
Eldoria,-27.52583922,159.9728617
Nightshade,-28.98498302,148.773933
Sylphwood,333.0529129,36.00983462
Nightshade,288.6497015,32.74768184
Emberfall,297.4498041,37.75740889
Windspire,314.2333561,42.66985968
Thornmere,320.7508651,16.30799502
Bramneth,252.6054513,11.05507734
Shadowfen,256.5937777,-4.557761317
Emberfall,287.5276263,8.963637898
Moonshadow,265.9322981,29.09982234
Drakvale,252.3136226,75.40331893
Windspire,230.3291893,64.89748357
Sylphwood,219.3369727,94.56674084
Frostholm,213.4031213,81.7262754
Stormwatch,255.5237389,57.89359333
Drakvale,267.0996131,75.1601283
Windspire,283.2474712,75.25740455
Mythral,280.0893912,83.42860983
Eldoria,272.696396,88.68152751
Mistwood,289.7197403,99.9655729
Ravenscar,270.115177,112.9519527
Moonshadow,243.51352,118.058956
Thornmere,241.2761661,98.21460034
Ravenscar,190.4459255,103.9538993
Starfall,174.7844487,141.3079806
Sylphwood,203.8248086,120.7826911
Bramneth,172.501855,89.36246129
Velorn,165.7377571,108.2826926
Thornmere,153.0918442,74.91693766
Stormwatch,237.5276321,31.53172867
Drakvale,217.4434841,35.17958817
Moonshadow,194.4342518,46.41159714
Brightwater,185.0957315,60.13094716
Windspire,179.7455376,34.98503567
Eldoria,123.0334819,13.04924054
Stormwatch,141.3214175,33.08814873
Velorn,144.1424289,48.79826364
Moonshadow,171.8209212,6.093988424
Thornmere,151.6847368,19.61538764
Taronis,204.9921236,6.969474704
Moonshadow,205.3291922,18.68786494
Brightwater,189.4731629,0.504002151
Sylphwood,149.7844516,-18.03052241
Eldoria,177.216355,-11.80484219
Nightshade,144.1424289,-4.363208811
Nightshade,154.2591592,-37.58304933
Ravenscar,123.9089682,-32.96242729
Windspire,135.1930136,-21.77565816
Moonshadow,178.7241369,-62.91135379
Taronis,162.8228678,-55.43324182
Thornmere,173.6171336,-84.34860812
Ravenscar,220.990669,-181.3573518
Shadowfen,172.2552661,-179.5577411
Taronis,225.2708242,-153.414748
Eldoria,242.2698494,-173.9886756
Velorn,171.93572,-142.9818698
Moonshadow,147.4255024,-150.2046316
Glimmerdell,159.6093532,-171.9823529
Frostholm,199.2251073,-179.238195
Velorn,251.4381363,-171.4838121
Stormwatch,242.5859973,-151.4449039
Drakvale,220.1151827,-171.6783646
Nightshade,194.5315281,-166.3281706
Mistwood,188.9867817,-143.6628036
Emberfall,196.2825007,-139.0908197
Mistwood,181.4512703,-128.5363462
Ravenscar,201.8272471,-117.9332346
Eldoria,188.6949529,-108.3028855
Windspire,-78.52291503,-348.4259186
Mythral,15.88708713,-371.9215321
Starfall,-5.419810644,-419.9239648
Ravenscar,-65.83176226,-377.0285354
Taronis,-129.8847768,-355.4298088
Mythral,-117.3327418,-305.8223179
Stormwatch,74.25283914,-420.8028494
Starfall,144.8233626,-409.129699
Stormwatch,157.8583806,-369.2498334
Bramneth,114.8136385,-383.9594684
Nightshade,134.5120798,-363.5314552
Emberfall,136.5548811,-347.5572289
Stormwatch,118.1730675,-346.3865156
Shadowfen,86.50964706,-348.5752313
Velorn,94.09379653,-358.8621951
Ravenscar,58.34817172,-369.2950732
Thornmere,57.61859982,-341.7172554
Nightshade,29.60303885,-318.6627834
Stormwatch,27.70615191,-337.4857384
Taronis,6.687684603,-338.6530534
Taronis,3.335052157,-312.6073366
Shadowfen,-35.04042979,-319.2430426
Shadowfen,21.2825209,-301.4482848
Brightwater,28.86667037,-301.8826297
Drakvale,25.22220916,-284.0844736
Glimmerdell,-8.633325299,-296.3378832
Sylphwood,-79.98205883,-276.781958
Starfall,-26.13965261,-272.8490663
Sylphwood,-56.77827412,-296.0460545
Mistwood,-52.98789853,-290.2094793
Shadowfen,-24.96893927,-247.8943091
Sylphwood,-58.82447373,-255.6277712
Bramneth,-38.54237491,-258.6885749
Frostholm,-77.93925751,-257.3821421
Drakvale,-90.05015105,-249.9371104
Bramneth,-72.29723482,-245.0732977
Thornmere,-44.86533138,-202.1258319
Frostholm,-57.80307307,-202.2717462
Frostholm,-39.51513744,-235.4915868
Frostholm,-69.37894722,-231.4546222
Mythral,-56.77827412,-219.0032618
Sylphwood,-268.5034378,112.2257791
Nightshade,-338.3964258,-158.5981068
Shadowfen,-352.9878638,-150.5728159
Eldoria,-372.6863051,-171.6540455
Bramneth,-369.3302744,-197.1161048
Moonshadow,-351.0909769,-193.0305022
Brightwater,-337.8127683,-183.257637
Taronis,-351.0909769,-169.3889743
Taronis,-391.6551745,-138.163297
Sylphwood,-371.223763,-147.65113
Taronis,-369.7646192,-137.1452946
Mistwood,-367.8677323,-128.3904318
Nightshade,-377.0637365,-117.0091102
Eldoria,-383.0462261,-131.1662033
Mythral,-406.8268718,-124.8884867
Stormwatch,-414.1259891,-147.946357
Starfall,-386.4022569,-154.074761
Nightshade,-392.3813482,-193.6141597
Windspire,-396.7621778,-165.4560826
Thornmere,-412.9620723,-163.7017118
