---,Tag,DevComment
CombatStateDead,"Combat.State.Dead",""
CombatDamageTypeFire,"Combat.DamageType.Fire","Fire Damage"
CombatDamageTypeWater,"Combat.DamageType.Water","Water Damage"
CombatDamageTypeIce,"Combat.DamageType.Ice","Ice Damage"
CombatDamageTypeLightning,"Combat.DamageType.Lightning","Lightning Damage"
CombatStateWet,"Combat.State.Wet","Wet state"
CombatStateBurning,"Combat.State.Burning","Burning state"
CombatStateCold,"Combat.State.Cold","Cold state"
CombatStateCharged,"Combat.State.Charged","Charged state"
CombatFlagsCriticalHit,"Combat.Flags.CriticalHit","Was a critical hit?"
CombatCooldownNormalAbility1,"Combat.Cooldown.NormalAbility1","Normal Ability 1 Cooldown"
CombatCooldownNormalAbility2,"Combat.Cooldown.NormalAbility2","Normal Ability 2 Cooldown"
CombatDamageTypeFalling,"Combat.DamageType.Falling","Falling Damage"
CombatSetByCallingFallingDamage,"Combat.SetByCaller.FallingDamage","Set by Caller Falling Damage"
CombatActivateFromEventApplyFallingDamage,"Combat.ActivateFromEvent.ApplyFallingDamage","Activate from Event Apply Falling Damage"
CombatStateIframe,"Combat.State.Iframe","Invulnerbility Frames"
CombatStateDodgedRecently,"Combat.State.DodgedRecently","A dodge was performed recently."
CombatStateElectrified,"Combat.State.Electrified","Electrified state"
CombatStateFrozen,"Combat.State.Frozen","Frozen state"
CombatComboWindow1,"Combat.Combo.Window.1","1st combo window"
CombatStateReadyToFight,"Combat.State.ReadyToFight","Ready To Fight"
SetByCallerStrength,"SetByCaller.Strength","Modifie Strength Attribute"
SetByCallerAttack,"SetByCaller.Attack","Modifie Attack Attribute"
SetByCallerSpeed,"SetByCaller.Speed","Modifie Speed Attribute"
SetByCallerAgility,"SetByCaller.Agility","Modifie Agility Attribute"
SetByCallerCritDamage,"SetByCaller.CritDamage","Modifie CritDamage Attribute"
SetByCallerIntelligence,"SetByCaller.Intelligence","Modifie Intelligence Attribute"
SetByCallerConstitution,"SetByCaller.Constitution","Modifie Constitution Attribute"
SetByCallerMaxStamina,"SetByCaller.MaxStamina","Modifie MaxStamina Attribute"
SetByCallerMaxHealth,"SetByCaller.MaxHealth","Modifie MaxHealth Attribute"
SetByCallerMaxMana,"SetByCaller.MaxMana","Modifie MaxMana Attribute"
SetByCallerDefense,"SetByCaller.Defense","Modifie Defense Attribute"
Blocking,"Combat.State.Blocking","Blocking"
CombatSetUnarmed,"Combat.Set.Unarmed","Unarmed"
CombatSetSwordAndShield,"Combat.Set.SwordAndShield","SwordAndShield"
CombatSetBow,"Combat.Set.Bow","Bow"
