---,Tag,DevComment
NormalAbility1,"InputTag.Abilities.NormalAbility1","Normal Ability 1"
NormalAbility2,"InputTag.Abilities.NormalAbility2","Normal Ability 2"
SpecialAbility1,"InputTag.Abilities.SpecialAbility1","Special Ability 1"
Crouch,"InputTag.Crouch","Crouch"
Dash,"InputTag.Abilities.Dash","Dash"
Move,"InputTag.Move","Movement"
Interact,"InputTag.Interact","Interact"
Sprint,"InputTag.Sprint","Sprint"
WalkRun,"InputTag.WalkRun","WalkRun"
WeaponLeft,"InputTag.Abilities.WeaponLeft","WeaponLeft"
WeaponRight,"InputTag.Abilities.WeaponRight","WeaponRight"
ReadyToFight,"InputTag.Abilities.ReadyToFight","Ready to fight"
Running,"MovementState.Running","Running"
Walking,"MovementState.Walking","Walking"
Sprinting,"MovementState.Sprinting","Sprinting"
Crawing,"MovementState.Crawing","Crawing"
Ragdoll,"MovementState.Ragdoll","Ragdoll"
Crouching,"MovementState.Crouching","Ragdoll"
Aiming,"InputTag.Aiming","Aiming"
Flying,"MovementState.Flying","Flying"
FirstCamera,"InputTag.FirstCamera","FirstCamera"
Swimming,"MovementState.Swimming","Swimming"
Driving,"MovementState.Driving","Driving"
OnBoat,"MovementState.OnBoat","OnBoat"
