---,Tag,DevComment
HeadSlot,"EquipementSlot.Head","HeadSlot"
NecklaceSlot,"EquipementSlot.Necklace","NecklaceSlot"
ChestSlot,"EquipementSlot.Chest","ChestSlot"
CloakSlot,"EquipementSlot.Cloak","CloakSlot"
BeltSlot,"EquipementSlot.Belt","BletSlot"
BracerLeftSlot,"EquipementSlot.BracerLeft","BracerLeftSlot"
BracerRightSlot,"EquipementSlot.BracerRight","BracerRightSlot"
HandLeftSlot,"EquipementSlot.HandLeft","HandLeftSlot"
HandRightSlot,"EquipementSlot.HandRight","HandRightSlot"
RingLeftSlot,"EquipementSlot.RingLeft","RingLeftSlot"
RingRightSlot,"EquipementSlot.RingRight","RingRightSlot"
PantsSlot,"EquipementSlot.Pants","PantsSlot"
BootsSlot,"EquipementSlot.Boots","BootsSlot"
CristalSlot,"EquipementSlot.Cristal","CristalSlot"
WeaponType.Unarmed,"WeaponType.Unarmed","Unarmed"
WeaponType.Bow,"WeaponType.Bow","Bow"
WeaponType.HandLeftAlone,"WeaponType.HandLeftAlone","HandLeftAlone"
WeaponType.HandRightAlone,"WeaponType.HandRightAlone","HandRightAlone"
WeaponType.TwoWeapon,"WeaponType.TwoWeapon","TwoWeapon"
WeaponType.GreatSword,"WeaponType.GreatSword","GreatSword"
EarringLeftSlot,"EquipementSlot.EarringLeft","EarringLeftSlot"
EarringRightSlot,"EquipementSlot.EarringRight","EarringRightSlot"
